2022-04-04 14:56:28;Warning type: 2 ; Warning time: 11200 ms.
2022-04-04 15:04:20;Warning type: 2 ; Warning time: 10801 ms.
2022-04-04 15:04:46;Warning type: 2 ; Warning time: 21603 ms.
2022-04-04 15:17:04;Warning type: 2 ; Warning time: 10801 ms.
2022-04-04 16:03:06;Warning type: 2 ; Warning time: 10801 ms.
2022-04-04 19:09:21;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:09:24;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:10:03;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:10:04;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:10:10;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:10:12;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:10:17;Warning type: SON ; Warning time: 3201 ms.
2022-04-04 19:10:21;Warning type: SON ; Warning time: 1599 ms.
2022-04-04 19:10:23;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:10:28;Warning type: SON ; Warning time: 3201 ms.
2022-04-04 19:10:33;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:10:42;Warning type: SON ; Warning time: 1600 ms.
2022-04-04 19:10:46;Warning type: SON ; Warning time: 1599 ms.
2022-04-04 19:11:00;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:11:03;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:11:05;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:11:35;Warning type: PRESENCE ; Warning time: 22001 ms.
2022-04-04 19:11:37;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:11:46;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:11:50;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:11:55;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:11:58;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:12:09;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:12:14;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:12:19;Warning type: SON ; Warning time: 1601 ms.
2022-04-04 19:12:26;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:12:53;Warning type: SON ; Warning time: 1600 ms.
2022-04-04 19:13:30;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:13:39;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:13:44;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:13:50;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:14:00;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:14:08;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:14:11;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:14:51;Warning type: PRESENCE ; Warning time: 10800 ms.
2022-04-04 19:14:58;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:15:05;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:15:07;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:15:37;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:15:41;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:15:53;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:16:07;Warning type: SON ; Warning time: 1600 ms.
2022-04-04 19:16:21;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:16:55;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:17:03;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:17:10;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:17:15;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:17:18;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:17:19;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:17:29;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:17:47;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:17:57;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:18:13;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:18:20;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:18:24;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:18:28;Warning type: SON ; Warning time: 1599 ms.
2022-04-04 19:18:29;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:18:42;Warning type: PRESENCE ; Warning time: 11200 ms.
2022-04-04 19:18:51;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:18:54;Warning type: SON ; Warning time: 801 ms.
2022-04-04 19:19:20;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:19:26;Warning type: SON ; Warning time: 1599 ms.
2022-04-04 19:20:00;Warning type: SON ; Warning time: 1601 ms.
2022-04-04 19:21:10;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:21:14;Warning type: SON ; Warning time: 799 ms.
2022-04-04 19:21:16;Warning type: SON ; Warning time: 800 ms.
2022-04-04 19:21:31;Warning type: SON ; Warning time: 800 ms.
